id,name,state,county,range,elevation_ft,elevation_m,prominence_ft,lat,lon,gnis_feature_id,wikidata_qid,wikipedia_url,lists,photo_url,photo_license,photo_license_url,photo_author,photo_source_page,photo_attribution,coord_source,official_usgs_name,prominence_marginal,aka
ca-mount-winchell,Mount Winchell,California,Inyo,,13775,4199,,37.1045961,-118.5261656,269219,Q6924629,https://en.wikipedia.org/wiki/Mount_Winchell,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/0/09/Mt_Winchell.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Justin.Johnsen (Justin at Flickr),https://commons.wikimedia.org/wiki/File:Mt_Winchell.jpg,"Justin.Johnsen (Justin at Flickr), CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 269219,True,False,
ca-mount-morgan-south,Mount Morgan (South),California,,,13748,4190,,37.4055,-118.733,,Q6922255,https://en.wikipedia.org/wiki/Mount_Morgan_%28Inyo_County%2C_California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/c/cd/Mt_Morgan.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Gregory Bryson from San Diego, CA, USA",https://commons.wikimedia.org/wiki/File:Mt_Morgan.jpg,"Gregory Bryson from San Diego, CA, USA, CC BY 2.0, via Wikimedia Commons",Vulgarian Ramblers peak detail page (WGS84),True,False,
ca-mount-gabb,Mount Gabb,California,Fresno,,13741,4188,,37.3766314,-118.8027365,260452,Q23950187,https://en.wikipedia.org/wiki/Mount_Gabb,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/2/21/Mount_Gabb_from_East.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Inklein,https://commons.wikimedia.org/wiki/File:Mount_Gabb_from_East.jpg,"Inklein, CC BY-SA 4.0, via Wikimedia Commons",USGS GNIS feature 260452,True,False,
ca-bear-creek-spire,Bear Creek Spire,California,Inyo,,13740,4188,,37.3680534,-118.7676077,256653,Q18357144,https://en.wikipedia.org/wiki/Bear_Creek_Spire,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/8/88/Bear_Creek_Spire_from_Mosquito_Flat.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Adorabutton,https://commons.wikimedia.org/wiki/File:Bear_Creek_Spire_from_Mosquito_Flat.jpg,"Adorabutton, CC BY-SA 4.0, via Wikimedia Commons",USGS GNIS feature 256653,True,False,
ca-red-kaweah,Red Kaweah,California,Tulare,,13737,4187,,36.5400002,-118.5056254,1659482,Q7304418,https://en.wikipedia.org/wiki/Red_Kaweah,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/0/0f/Light_on_the_Kaweahs_%288049712402%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Jeffrey Pang from Berkeley, CA, USA",https://commons.wikimedia.org/wiki/File:Light_on_the_Kaweahs_(8049712402).jpg,"Jeffrey Pang from Berkeley, CA, USA, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 1659482,True,False,
ca-east-barnard,East Barnard,California,,,13724,4183,,36.6261,-118.311,,,,ca-13ers,,,,,,,Vulgarian Ramblers peak detail page (WGS84),False,False,
ca-mount-mendel,Mount Mendel,California,Fresno,,13710,4179,,37.1748412,-118.6822359,263452,Q6922150,https://en.wikipedia.org/wiki/Mount_Mendel,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/0/00/MtMendel.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Claisam,https://commons.wikimedia.org/wiki/File:MtMendel.jpg,"Claisam, CC BY-SA 3.0, via Wikimedia Commons",USGS GNIS feature 263452,True,False,
ca-mount-abbot,Mount Abbot,California,Fresno,,13704,4177,,37.3863529,-118.7848306,256096,Q6919218,https://en.wikipedia.org/wiki/Mount_Abbot,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/6/60/Mount_Abbot.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,self,https://commons.wikimedia.org/wiki/File:Mount_Abbot.jpg,"self, CC BY 3.0, via Wikimedia Commons",USGS GNIS feature 256096,True,False,
ca-black-kaweah,Black Kaweah,California,Tulare,,13680,4170,,36.5453837,-118.5158296,254626,Q4921100,https://en.wikipedia.org/wiki/Black_Kaweah,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/0/0f/Light_on_the_Kaweahs_%288049712402%29.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,"Jeffrey Pang from Berkeley, CA, USA",https://commons.wikimedia.org/wiki/File:Light_on_the_Kaweahs_(8049712402).jpg,"Jeffrey Pang from Berkeley, CA, USA, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 254626,True,False,
ca-midway-mountain,Midway Mountain,California,Tulare,,13664,4165,,36.6433251,-118.48371,228633,Q49050081,https://en.wikipedia.org/wiki/Midway_Mountain,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/f/fa/Milestone%2C_Midway%2C_Table_Mtns.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Tim Berger,"https://commons.wikimedia.org/wiki/File:Milestone,_Midway,_Table_Mtns.jpg","Tim Berger, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 228633,True,False,
ca-second-kaweah,Second Kaweah,California,,,13661,4164,,36.5332,-118.4931,,,,ca-13ers,,,,,,,Vulgarian Ramblers peak detail page (WGS84),False,False,
ca-mount-tom,Mount Tom,California,Inyo,,13652,4161,,37.338556,-118.6569361,268340,Q6924144,https://en.wikipedia.org/wiki/Mount_Tom_%28California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/6/6e/Mount-tom.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Eeekster,https://commons.wikimedia.org/wiki/File:Mount-tom.jpg,"Eeekster, CC BY-SA 4.0, via Wikimedia Commons",USGS GNIS feature 268340,True,False,
ca-milestone-mountain,Milestone Mountain,California,Tulare,,13638,4157,,36.6344742,-118.4845322,228655,Q6851612,https://en.wikipedia.org/wiki/Milestone_Mountain,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/f/f5/Milestone_Mtn_Huber_1932.jpg,Public domain,,W.L. Huber,https://commons.wikimedia.org/wiki/File:Milestone_Mtn_Huber_1932.jpg,"W.L. Huber, Public domain, via Wikimedia Commons",USGS GNIS feature 228655,True,False,
ca-table-mountain,Table Mountain,California,Tulare,,13632,4155,,36.659904,-118.4737038,253958,Q7673143,https://en.wikipedia.org/wiki/Table_Mountain_%28Tulare_County%2C_California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/6/62/Table_Mountain_GWD.jpg,Public domain,,F. Webb,https://commons.wikimedia.org/wiki/File:Table_Mountain_GWD.jpg,"F. Webb, Public domain, via Wikimedia Commons",USGS GNIS feature 253958,True,False,
ca-mount-ericsson,Mount Ericsson,California,Tulare,,13615,4150,,36.6971529,-118.4144644,223236,Q23950180,https://en.wikipedia.org/wiki/Mount_Ericsson,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/0/04/Mount_Ericsson_1935.jpg,Public domain,,U.S. Geological Survey,https://commons.wikimedia.org/wiki/File:Mount_Ericsson_1935.jpg,"U.S. Geological Survey, Public domain, via Wikimedia Commons",USGS GNIS feature 223236,True,False,
ca-utm882683,UTM882683,California,,,13615,4150,,37.6572,-118.2681,,,,ca-13ers,,,,,,,Vulgarian Ramblers peak detail page (WGS84),True,False,
ca-birch-mountain,Birch Mountain,California,Inyo,,13602,4146,,37.0624923,-118.4190658,252132,Q4915679,https://en.wikipedia.org/wiki/Birch_Mountain,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/b/bb/Birch_mountain.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Justin.Johnsen,https://commons.wikimedia.org/wiki/File:Birch_mountain.jpg,"Justin.Johnsen, CC BY-SA 3.0, via Wikimedia Commons",USGS GNIS feature 252132,True,False,
ca-university-peak,University Peak,California,Inyo,,13589,4142,,36.7480794,-118.3618702,268596,Q7894874,https://en.wikipedia.org/wiki/University_Peak_%28California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/1/1d/University_peak.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Mel,https://commons.wikimedia.org/wiki/File:University_peak.jpg,"Mel, CC BY-SA 2.0, via Wikimedia Commons",USGS GNIS feature 268596,True,False,
ca-ed-lane-peak,Ed Lane Peak,California,,,13576,4138,,37.0606,-118.4363,,,,ca-13ers,,,,,,,Vulgarian Ramblers peak detail page (WGS84),False,False,
ca-mount-brewer,Mount Brewer,California,Tulare,,13570,4136,,36.7083193,-118.4852329,219808,Q6919846,https://en.wikipedia.org/wiki/Mount_Brewer,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/6/69/Mount_Brewer.jpg,Public domain,,"Matthes, F.E.",https://commons.wikimedia.org/wiki/File:Mount_Brewer.jpg,"Matthes, F.E., Public domain, via Wikimedia Commons",USGS GNIS feature 219808,True,False,
ca-mount-goddard,Mount Goddard,California,Fresno,,13568,4136,,37.1029149,-118.7198836,260631,Q6920932,https://en.wikipedia.org/wiki/Mount_Goddard,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/4/40/Mount_Goddard_California.jpg,Public domain,,"Gilbert, G.K.",https://commons.wikimedia.org/wiki/File:Mount_Goddard_California.jpg,"Gilbert, G.K., Public domain, via Wikimedia Commons",USGS GNIS feature 260631,True,False,
ca-tunnabora-peak,Tunnabora Peak,California,Inyo,,13563,4134,,36.6051277,-118.2821847,268469,Q49085201,https://en.wikipedia.org/wiki/Tunnabora_Peak,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/1/1f/Tunnabora_Peak.jpg,CC BY 2.5,https://creativecommons.org/licenses/by/2.5,John Fowler,https://commons.wikimedia.org/wiki/File:Tunnabora_Peak.jpg,"John Fowler, CC BY 2.5, via Wikimedia Commons",USGS GNIS feature 268469,True,False,
ca-mount-dubois,Mount Dubois,California,Mono,,13559,4133,,37.783259,-118.3431596,259592,Q23950192,https://en.wikipedia.org/wiki/Mount_Dubois,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/9/95/White_Mountain_Peak_View_to_north%2C_White_Mountains.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Martin Stiburek,"https://commons.wikimedia.org/wiki/File:White_Mountain_Peak_View_to_north,_White_Mountains.jpg","Martin Stiburek, CC BY-SA 4.0, via Wikimedia Commons",USGS GNIS feature 259592,True,False,
ca-palisade-crest,Palisade Crest,California,Inyo,,13553,4131,,37.0814468,-118.4895799,1659335,Q7127578,https://en.wikipedia.org/wiki/Palisade_Crest,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/f/ff/Palisade_Crest.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,"Jonathan Fox from Carson City, United States",https://commons.wikimedia.org/wiki/File:Palisade_Crest.jpg,"Jonathan Fox from Carson City, United States, CC BY-SA 2.0, via Wikimedia Commons",USGS GNIS feature 1659335,True,False,
ca-milestone-mesa,Milestone Mesa,California,,,13547,4129,,36.6306,-118.4762,,,,ca-13ers,,,,,,,Vulgarian Ramblers peak detail page (WGS84),False,False,
ca-utm794568,UTM794568,California,,,13540,4127,,36.6508,-118.3497,,,,ca-13ers,,,,,,,Vulgarian Ramblers peak detail page (WGS84),True,False,
ut-kings-peak,Kings Peak,Utah,Duchesne,,13534.1,4125.2,,40.7763756,-110.3728037,1442332,Q1642538,https://en.wikipedia.org/wiki/Kings_Peak_%28Utah%29,us-state-highpoints,https://upload.wikimedia.org/wikipedia/commons/2/2d/Kings_Peak_Close_Up.jpg,CC BY-SA 3.0,http://creativecommons.org/licenses/by-sa/3.0/,Hyrum K. Wright,https://commons.wikimedia.org/wiki/File:Kings_Peak_Close_Up.jpg,"Hyrum K. Wright, CC BY-SA 3.0, via Wikimedia Commons",USGS GNIS feature 1442332,,,
ca-thunder-mountain,Thunder Mountain,California,Tulare,,13533,4125,,36.6689524,-118.4757769,255142,Q7798997,https://en.wikipedia.org/wiki/Thunder_Mountain_%28Tulare_County%2C_California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/5/54/Thunder_Mountain%2C_east_aspect.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,glenngould,"https://commons.wikimedia.org/wiki/File:Thunder_Mountain,_east_aspect.jpg","glenngould, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 255142,True,False,
ca-cloudripper,Cloudripper,California,Inyo,,13525,4122,,37.1427527,-118.5304693,1667271,Q35735048,https://en.wikipedia.org/wiki/Cloudripper,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/d/d4/Cloudripper.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Tim Berger,https://commons.wikimedia.org/wiki/File:Cloudripper.jpg,"Tim Berger, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 1667271,True,False,
ca-squaretop,Squaretop,California,,,13524,4122,,36.5358,-118.4984,,,,ca-13ers,,,,,,,Vulgarian Ramblers peak detail page (WGS84),False,True,
ca-mount-gayley,Mount Gayley,California,Inyo,,13510,4118,,37.1030007,-118.4998074,233920,Q49052787,https://en.wikipedia.org/wiki/Mount_Gayley,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/f/f0/Mount_Gayley.jpg,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,Tim Berger,https://commons.wikimedia.org/wiki/File:Mount_Gayley.jpg,"Tim Berger, CC BY 2.0, via Wikimedia Commons",USGS GNIS feature 233920,True,False,
ca-mount-fiske,Mount Fiske,California,Fresno,,13503,4116,,37.1365692,-118.6678353,260170,Q49052707,https://en.wikipedia.org/wiki/Mount_Fiske,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/2/27/Mt._Fiske_reflected_Sapphire_Lake.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,"Jeff P from Berkeley, CA, USA",https://commons.wikimedia.org/wiki/File:Mt._Fiske_reflected_Sapphire_Lake.jpg,"Jeff P from Berkeley, CA, USA, CC BY 3.0, via Wikimedia Commons",USGS GNIS feature 260170,True,False,
ca-mount-hale,Mount Hale,California,Tulare,,13494,4113,,36.5880375,-118.3146535,1658696,Q49052893,https://en.wikipedia.org/wiki/Mount_Hale_%28California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/a/aa/Hale_from_Whitney.jpg,CC BY-SA 2.0,https://creativecommons.org/licenses/by-sa/2.0,Jonathan Fox,https://commons.wikimedia.org/wiki/File:Hale_from_Whitney.jpg,"Jonathan Fox, CC BY-SA 2.0, via Wikimedia Commons",USGS GNIS feature 1658696,True,False,
ca-mount-pinchot,Mount Pinchot,California,Fresno,,13494,4113,,36.9473279,-118.4052002,264746,Q25206397,https://en.wikipedia.org/wiki/Mount_Pinchot_%28California%29,ca-13ers,https://upload.wikimedia.org/wikipedia/commons/9/91/Lookout_Peak_View%2C_Kings_Canyon_National_Park.jpg,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Martin Stiburek,"https://commons.wikimedia.org/wiki/File:Lookout_Peak_View,_Kings_Canyon_National_Park.jpg","Martin Stiburek, CC BY-SA 4.0, via Wikimedia Commons",USGS GNIS feature 264746,True,False,
